INFO:     Started server process [9788]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-06-20 20:24:05,938 | INFO | university_finder | GET /admin/stats \u2192 200 (32.6ms)
2026-06-20 20:24:10,527 | INFO | university_finder | GET /support \u2192 200 (13.0ms)
2026-06-20 20:24:10,535 | INFO | university_finder | GET /support/stats \u2192 200 (15.9ms)
2026-06-20 20:24:21,637 | INFO | university_finder | GET /admin/users \u2192 200 (2.9ms)
2026-06-20 20:24:21,664 | INFO | university_finder | GET /admin/assets/index-CrygVe23.js \u2192 200 (3.2ms)
2026-06-20 20:24:21,760 | INFO | university_finder | GET /admin/favicon.svg \u2192 200 (2.0ms)
2026-06-20 20:24:21,837 | INFO | university_finder | GET /admin/stats \u2192 200 (13.4ms)
2026-06-20 20:24:21,849 | INFO | university_finder | GET /admin/students \u2192 200 (8.4ms)
2026-06-20 20:24:21,869 | INFO | university_finder | GET /support/my \u2192 200 (9.0ms)
2026-06-20 20:24:25,591 | INFO | university_finder | GET /support \u2192 200 (16.1ms)
2026-06-20 20:24:25,593 | INFO | university_finder | GET /support/stats \u2192 200 (16.6ms)
2026-06-20 20:24:31,466 | INFO | university_finder | POST /support/2/reply \u2192 200 (9.8ms)
2026-06-20 20:24:31,478 | INFO | university_finder | GET /support/stats \u2192 200 (6.9ms)
2026-06-20 20:24:34,460 | INFO | university_finder | GET /admin/users \u2192 200 (2.4ms)
2026-06-20 20:24:34,488 | INFO | university_finder | GET /admin/assets/index-CrygVe23.js \u2192 200 (2.2ms)
2026-06-20 20:24:34,588 | INFO | university_finder | GET /admin/favicon.svg \u2192 200 (2.1ms)
2026-06-20 20:24:34,662 | INFO | university_finder | GET /admin/students \u2192 200 (8.5ms)
2026-06-20 20:24:34,672 | INFO | university_finder | GET /admin/stats \u2192 200 (19.3ms)
2026-06-20 20:24:37,539 | INFO | university_finder | GET /support \u2192 200 (12.9ms)
2026-06-20 20:24:37,544 | INFO | university_finder | GET /support/stats \u2192 200 (13.0ms)
2026-06-20 20:24:48,407 | INFO | university_finder | GET /support \u2192 200 (1.0ms)
2026-06-20 20:24:48,434 | INFO | university_finder | GET /assets/index-CE2wSD0f.js \u2192 200 (3.9ms)
2026-06-20 20:24:48,435 | INFO | university_finder | GET /assets/index-4hvmLaEC.css \u2192 200 (4.3ms)
2026-06-20 20:24:48,542 | INFO | university_finder | GET /favicon.svg \u2192 200 (3.6ms)
2026-06-20 20:24:48,548 | INFO | university_finder | GET /auth/me \u2192 200 (10.5ms)
2026-06-20 20:24:48,568 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (9.3ms)
2026-06-20 20:24:48,570 | INFO | university_finder | GET /support/my \u2192 200 (10.4ms)
2026-06-20 20:24:50,643 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (11.2ms)
2026-06-20 20:24:50,647 | INFO | university_finder | GET /announcements \u2192 200 (13.4ms)
2026-06-20 20:24:50,657 | INFO | university_finder | POST /announcements/read-all \u2192 200 (6.3ms)
2026-06-20 20:26:16,281 | INFO | university_finder | GET /announcements/unread-count \u2192 200 (7.6ms)
2026-06-20 20:26:16,282 | INFO | university_finder | GET /support/my \u2192 200 (8.7ms)
2026-06-20 20:26:45,971 | INFO | university_finder | GET /support/my \u2192 200 (6.4ms)
2026-06-20 20:27:16,287 | INFO | university_finder | GET /support/my \u2192 200 (5.2ms)
2026-06-20 20:27:45,966 | INFO | university_finder | GET /support/my \u2192 200 (6.0ms)
2026-06-20 20:28:16,266 | INFO | university_finder | GET /support/my \u2192 200 (5.0ms)
2026-06-20 20:28:46,844 | INFO | university_finder | GET /support/my \u2192 200 (5.0ms)
2026-06-20 20:29:17,148 | INFO | university_finder | GET /support/my \u2192 200 (5.0ms)
